month,retail_format,channel,sales_thousand_ars,share_pct,is_observed
2017-01-01,supermarkets,showroom,27591730.12689,99.04108840011484,True
2017-02-01,supermarkets,showroom,25749179.39807,99.0574021611544,True
2017-03-01,supermarkets,showroom,27472228.718250018,98.89208879863476,True
2017-04-01,supermarkets,showroom,28827479.48661001,98.94696963532351,True
2017-05-01,supermarkets,showroom,27569311.41494,98.57094213177511,True
2017-06-01,supermarkets,showroom,28763865.4186,98.73390669371025,True
2017-07-01,supermarkets,showroom,30815311.77359001,98.82308022792449,True
2017-08-01,supermarkets,showroom,30763355.89174,98.7432946615748,True
2017-09-01,supermarkets,showroom,30135595.69727,98.735611225963,True
2017-10-01,supermarkets,showroom,31980223.91264,98.56450919952083,True
2017-11-01,supermarkets,showroom,33122387.951610014,98.49357707113676,True
2017-12-01,supermarkets,showroom,40320285.2796,98.9058693507871,True
2018-01-01,supermarkets,showroom,32103107.855989996,98.84202795365115,True
2018-02-01,supermarkets,showroom,31357444.8335,98.80460719056275,True
2018-03-01,supermarkets,showroom,36055413.05464001,98.6973406722786,True
2018-04-01,supermarkets,showroom,33622270.978180006,98.55930599524194,True
2018-05-01,supermarkets,showroom,34407391.593590006,97.93427326545928,True
2018-06-01,supermarkets,showroom,37744796.10936996,98.45216132879764,True
2018-07-01,supermarkets,showroom,38696650.90644997,98.51878305599283,True
2018-08-01,supermarkets,showroom,38852702.48435998,98.38142841417643,True
2018-09-01,supermarkets,showroom,39313002.17497999,98.46577733318686,True
2018-10-01,supermarkets,showroom,42646486.70567999,98.21795809862493,True
2018-11-01,supermarkets,showroom,44076960.79194998,98.27760366541436,True
2018-12-01,supermarkets,showroom,56452356.42238999,98.68610582977533,True
2019-01-01,supermarkets,showroom,44740575.24163,98.474591252456,True
2019-02-01,supermarkets,showroom,43914187.05556002,98.4796473877379,True
2019-03-01,supermarkets,showroom,50347782.683160014,98.59414117056751,True
2019-04-01,supermarkets,showroom,48939565.17114004,98.62590741790585,True
2019-05-01,supermarkets,showroom,49813853.04009,98.10067120022565,True
2019-06-01,supermarkets,showroom,53591716.25316001,98.48988839981637,True
2019-07-01,supermarkets,showroom,54121341.62436,98.32291885561838,True
2019-08-01,supermarkets,showroom,58647926.47731001,98.28365701578223,True
2019-09-01,supermarkets,showroom,56887830.18007998,98.27680582740834,True
2019-10-01,supermarkets,showroom,65144928.115430005,98.21991532455074,True
2019-11-01,supermarkets,showroom,66454203.74208,97.80773460671925,True
2019-12-01,supermarkets,showroom,82246180.67768,98.46935760736893,True
2020-01-01,supermarkets,showroom,69104127.61199,98.5160987835158,True
2020-02-01,supermarkets,showroom,71514175.14700998,98.64781547324874,True
2020-03-01,supermarkets,showroom,84174875.51342997,98.13104176554252,True
2020-04-01,supermarkets,showroom,71798954.70953001,95.7196917822513,True
2020-05-01,supermarkets,showroom,74966605.02587001,95.3840080573707,True
2020-06-01,supermarkets,showroom,74554853.95878996,95.29864348332914,True
2020-07-01,supermarkets,showroom,76413721.76438998,94.17434816658647,True
2020-08-01,supermarkets,showroom,76406528.27118002,95.01884501444184,True
2020-09-01,supermarkets,showroom,73111415.16161998,94.88116338028706,True
2020-10-01,supermarkets,showroom,84622602.74864998,94.84257171844409,True
2020-11-01,supermarkets,showroom,86255330.60578996,94.68877986016473,True
2020-12-01,supermarkets,showroom,111830218.56443,96.56675375002989,True
2021-01-01,supermarkets,showroom,94524545.26598,96.44615460227725,True
2021-02-01,supermarkets,showroom,89908053.01556998,96.72292423387628,True
2021-03-01,supermarkets,showroom,103243215.2959,96.28572036236307,True
2021-04-01,supermarkets,showroom,102742178.64234994,96.13736309194788,True
2021-05-01,supermarkets,showroom,104997658.23470998,94.93056207771994,True
2021-06-01,supermarkets,showroom,111477594.54618998,95.86345724590309,True
2021-07-01,supermarkets,showroom,120904098.31748004,96.21637037900487,True
2021-08-01,supermarkets,showroom,120181530.94271998,96.2682016346296,True
2021-09-01,supermarkets,showroom,118585472.17123003,96.40918749756051,True
2021-10-01,supermarkets,showroom,136000643.3463,96.80623235046791,True
2021-11-01,supermarkets,showroom,135950778.84937298,95.94135339938303,True
2021-12-01,supermarkets,showroom,178866721.2456501,97.2190765393511,True
2022-01-01,supermarkets,showroom,149697614.62836808,96.88094085698744,True
2022-02-01,supermarkets,showroom,148406529.31365797,97.50592648211658,True
2022-03-01,supermarkets,showroom,164321074.85165015,97.24147330979305,True
2022-04-01,supermarkets,showroom,173047715.34078,97.66097418058932,True
2022-05-01,supermarkets,showroom,175360239.53115994,97.6167380232641,True
2022-06-01,supermarkets,showroom,189510268.1663519,96.63244899543014,True
2022-07-01,supermarkets,showroom,220952507.14078715,96.81755072211972,True
2022-08-01,supermarkets,showroom,218261209.60020196,96.78641288635775,True
2022-09-01,supermarkets,showroom,223841299.55893996,96.4196663250287,True
2022-10-01,supermarkets,showroom,256894810.875496,96.6985281195333,True
2022-11-01,supermarkets,showroom,272973768.15517306,95.85209027370287,True
2022-12-01,supermarkets,showroom,349050818.8344698,97.04816527041862,True
2023-01-01,supermarkets,showroom,307263826.4882069,97.05773940787233,True
2023-02-01,supermarkets,showroom,309570090.0011699,97.22159681903561,True
2023-03-01,supermarkets,showroom,351601023.6392711,96.82022077553593,True
2023-04-01,supermarkets,showroom,374859125.1204798,97.16056444110102,True
2023-05-01,supermarkets,showroom,374434432.96447,96.28108821199685,True
2023-06-01,supermarkets,showroom,413276979.4247101,97.05763465576621,True
2023-07-01,supermarkets,showroom,467388086.1971698,96.83400207261198,True
2023-08-01,supermarkets,showroom,518751701.64604,96.5282455772654,True
2023-09-01,supermarkets,showroom,563540336.5967802,97.14319273059402,True
2023-10-01,supermarkets,showroom,682264293.6607599,96.31272814744042,True
2023-11-01,supermarkets,showroom,735686087.4721098,96.25558709434999,True
2023-12-01,supermarkets,showroom,1116024751.75575,97.29455684358027,True
2024-01-01,supermarkets,showroom,1070336895.2835702,97.14985382705966,True
2024-02-01,supermarkets,showroom,1159627571.8536096,97.20166815364017,True
2024-03-01,supermarkets,showroom,1384251341.0202303,97.28155696065099,True
2024-04-01,supermarkets,showroom,1294639323.3574092,96.96814561537883,True
2024-05-01,supermarkets,showroom,1361031140.9580293,96.33028979513385,True
2024-06-01,supermarkets,showroom,1488530909.849041,97.10432127476457,True
2024-07-01,supermarkets,showroom,1537405542.9489808,96.79094804943989,True
2024-08-01,supermarkets,showroom,1613894730.890319,96.72912138031106,True
2024-09-01,supermarkets,showroom,1534438240.838519,96.8023134609577,True
2024-10-01,supermarkets,showroom,1643182164.0618002,96.75054323295183,True
2024-11-01,supermarkets,showroom,1756117842.3051193,96.26668574713896,True
2024-12-01,supermarkets,showroom,2167790946.522249,97.28832983955228,True
2025-01-01,supermarkets,showroom,1815675574.5381503,97.09307163495889,True
2025-02-01,supermarkets,showroom,1740067462.0109096,97.08214383470481,True
2025-03-01,supermarkets,showroom,1984442779.3166904,97.01959760426175,True
2025-04-01,supermarkets,showroom,1921361392.85092,97.26548636620846,True
2025-05-01,supermarkets,showroom,1917328198.5491695,96.47301729448161,True
2025-06-01,supermarkets,showroom,1949403829.2751296,97.00928618209639,True
2025-07-01,supermarkets,showroom,1993847051.4574203,96.83413456467116,True
2025-08-01,supermarkets,showroom,2037395777.3903208,96.70016708286798,True
2025-09-01,supermarkets,showroom,1894031054.1400995,96.51787457291469,True
2025-10-01,supermarkets,showroom,2096199311.4287696,96.55602633203911,True
2025-11-01,supermarkets,showroom,2132007343.3925505,96.41323356924495,True
2025-12-01,supermarkets,showroom,2713064578.3367305,97.02995330623317,True
2026-01-01,supermarkets,showroom,2276136044.052029,97.30265124948238,True
2026-02-01,supermarkets,showroom,2153749555.39168,97.28573782401384,True
2026-03-01,supermarkets,showroom,2386706916.4487314,96.87763408643887,True
2026-04-01,supermarkets,showroom,2325398336.6299005,96.90806816021836,True
2026-05-01,supermarkets,showroom,2417028375.6268086,96.57337137710272,True
2017-01-01,supermarkets,online,267141.956,0.9589115998851575,True
2017-02-01,supermarkets,online,245020.769,0.9425978388455954,True
2017-03-01,supermarkets,online,307777.804,1.1079112013652321,True
2017-04-01,supermarkets,online,306792.733,1.0530303646764878,True
2017-05-01,supermarkets,online,399693.262,1.4290578682248953,True
2017-06-01,supermarkets,online,368847.326,1.2660933062897446,True
2017-07-01,supermarkets,online,366990.683,1.1769197720755253,True
2017-08-01,supermarkets,online,391525.052,1.2567053384252131,True
2017-09-01,supermarkets,online,385910.498,1.2643887740369957,True
2017-10-01,supermarkets,online,465759.10129,1.4354908004791722,True
2017-11-01,supermarkets,online,506594.70549,1.5064229288632487,True
2017-12-01,supermarkets,online,446036.8247,1.094130649212901,True
2018-01-01,supermarkets,online,376100.1495799999,1.1579720463488548,True
2018-02-01,supermarkets,online,379379.71864,1.1953928094372586,True
2018-03-01,supermarkets,online,475878.27403,1.3026593277214031,True
