month,retail_format,nominal_sales_million_ars,constant_sales_million_ars,real_sales_index_original,real_sales_index_sa,real_sales_index_trend,nominal_sales_yoy_pct,real_sales_yoy_pct,real_sales_sa_mom_pct,is_partial_year
2017-01-01,supermarkets,27858.872082890004,27477.307666370554,99.92587030961089,103.723969866344,99.2629295015206,,,,False
2017-02-01,supermarkets,25994.200168069103,25223.428860347456,91.7292593461615,99.1985539537993,99.1119916693351,,,-4.362941293488898,False
2017-03-01,supermarkets,27780.00652224732,26334.26363967878,95.76899764376483,96.3441750514427,99.0099297102591,,,-2.8774400317226334,False
2017-04-01,supermarkets,29134.272220610008,27045.88446262117,98.3569269607987,98.7184417323522,98.9640021528897,,,2.464359344653433,False
2017-05-01,supermarkets,27969.00467693989,25631.863991881684,93.21460268762463,98.4293456805701,99.0286552854552,,,-0.29284908342244176,False
2017-06-01,supermarkets,29132.712745602,26365.38706384802,95.88218323257465,98.2959690291562,99.2937850778313,,,-0.13550496601566486,False
2017-07-01,supermarkets,31182.302455592708,27819.35294462765,101.1697757362319,99.6100324174648,99.8032702319253,,,1.3368436175839715,False
2017-08-01,supermarkets,31154.880941736905,27394.07395180577,99.62317684822904,100.598909747607,100.487788525086,,,0.9927487283588388,False
2017-09-01,supermarkets,30521.50619627021,26404.252526903005,96.02352405344077,102.167371612122,101.191839946268,,,1.5591241181938553,False
2017-10-01,supermarkets,32445.98301393,27766.66317796161,100.9781605003273,102.634542661804,101.783192194412,,,0.4572605150846121,False
2017-11-01,supermarkets,33628.98265709631,28425.301720641164,103.3734108063556,103.255295521266,102.172244736288,,,0.604818653995931,False
2017-12-01,supermarkets,40766.3221043007,34084.519433704845,123.95411187488028,98.1845435276072,102.328550546836,,,-4.910888074127351,False
2018-01-01,supermarkets,32479.208005573997,26736.746546069706,97.23269471314975,100.728489441073,102.26854014838,16.584791763775854,-2.6951735202471405,2.5909841020450353,False
2018-02-01,supermarkets,31736.824552140013,25650.68873210639,93.28306203499396,100.853550658749,102.023227927229,22.091944922102535,1.6939008337228945,0.12415674887009676,False
2018-03-01,supermarkets,36531.291328669984,28846.727300021103,104.9059961055264,101.110816377928,101.611157740449,31.50209773858148,9.540664188372073,0.25508841037187313,False
2018-04-01,supermarkets,34113.74566680001,26429.52752809941,96.11544086429768,101.63999578103,101.012006308575,17.09146330646094,-2.278930590617567,0.5233657704078354,False
2018-05-01,supermarkets,35133.14639127501,26430.503243249208,96.11898921724044,100.916842311498,100.184772989128,25.61457512373284,3.1158063713995654,-0.7114851432008407,False
2018-06-01,supermarkets,38338.20974565649,27465.909808897977,99.88442007578732,100.102536476756,99.0954560969017,31.598488889244237,4.1741194331221365,-0.8069077629564547,False
2018-07-01,supermarkets,39278.44996264218,27033.43803708506,98.31166343210656,99.1713139323108,97.7552241853735,25.963918214760916,-2.8250653748377985,-0.9302686797166615,False
2018-08-01,supermarkets,39491.90727419412,26267.256514020613,95.52531491365032,96.4000606844713,96.226400601118,26.759936422316557,-4.113362035042911,-2.794410135304859,False
2018-09-01,supermarkets,39925.54899754219,24310.777978264978,88.41025026462246,93.9549482073279,94.6143889256362,30.811201586182445,-7.928550700327586,-2.5364221347811577,False
2018-10-01,supermarkets,43420.253822487975,25010.476704449236,90.95482286312564,92.5043699225321,93.0424126254868,33.823203334127385,-9.926243048534412,-1.5439083438105294,False
2018-11-01,supermarkets,44849.44600603298,24891.71263312131,90.52291725821516,90.5179020443116,91.6110505936951,33.365455813362075,-12.431140123849293,-2.1474313914943477,False
2018-12-01,supermarkets,57203.95586361999,31136.131957050453,113.23180282655846,90.270933615045,90.3780246445448,40.32160104427271,-8.650224575966437,-0.27283932093974395,False
2019-01-01,supermarkets,45433.623712056,23888.726073338843,86.8753872268151,89.1259202427148,89.366692399618,39.88525737529931,-10.65208314640479,-1.2684186664259411,False
2019-02-01,supermarkets,44592.14489534219,22542.04994183623,81.97797201789069,88.5056292722951,88.5605635058259,40.506006900855326,-12.119124062267927,-0.6959714623203661,False
2019-03-01,supermarkets,51065.69425464903,24647.680742226563,89.63545406942528,87.8716626183561,87.9357113719888,39.7861734347517,-14.556405356220314,-0.7163009394448139,False
2019-04-01,supermarkets,49621.40927512204,23073.755385152883,83.91160866879156,87.2819079410984,87.4774230628067,45.458695036864015,-12.697056878443004,-0.6711545675642028,False
2019-05-01,supermarkets,50778.299914400006,22852.143404939907,83.10567927197076,87.2284994167437,87.1786047474643,44.53103445073261,-13.53875030443572,-0.061190830510649,False
2019-06-01,supermarkets,54413.41961482001,23803.413179689967,86.5651324795158,86.6558352408469,87.0214539707751,41.92999614695039,-13.3346998322316,-0.6565104062616456,False
2019-07-01,supermarkets,55044.48225731951,23580.072634934764,85.75291686577862,86.7250941610166,86.9723137949578,40.13914069845534,-12.774421800929991,0.07992412741415489,False
2019-08-01,supermarkets,59672.10445566601,24329.91041230039,88.47982859250462,87.9499323660468,86.980503320628,51.09957602543695,-7.375517502888562,1.4123227156791707,False
2019-09-01,supermarkets,57885.30640686599,22144.650616311803,80.53276224895534,88.2585882767012,87.0067702410027,44.98311948178697,-8.91015237722873,0.35094502332280175,False
2019-10-01,supermarkets,66325.57959367818,24652.71442386198,89.65375990289294,90.7466298222586,87.0235752679073,52.752629832226376,-1.4304496664136357,2.8190361914209205,False
2019-11-01,supermarkets,67943.71018742798,24270.7041203352,88.26451491169347,86.2077509951874,87.0159424268161,51.49286387682122,-2.494840439222301,-5.001705116720368,False
2019-12-01,supermarkets,83524.644291502,29147.85103469526,106.00108342716464,86.2085196106751,87.0013089137207,46.01200743989313,-6.385767265817888,0.0008915851287483179,False
2020-01-01,supermarkets,70145.01027272303,23483.345683378702,85.40115296903903,86.7986815173901,86.9998712932251,54.39008501122431,-1.696952732915169,0.6845749229660969,False
2020-02-01,supermarkets,72494.433661744,23702.013147622165,86.19637413620114,87.9171532586533,87.0298682431546,62.57220600598716,5.145775157001742,1.2885814873111023,False
2020-03-01,supermarkets,85778.03108882,26996.659534813563,98.1779121966221,99.3190189237341,87.0760688109636,67.97584433312733,9.53022240572401,12.968874949279098,False
2020-04-01,supermarkets,75009.59663855402,23142.654714237968,84.16217271626562,86.8419788154368,87.110195013661,51.16377735801328,0.2986047478401588,-12.562588961816335,False
2020-05-01,supermarkets,78594.52182045301,24012.676328922764,87.32615326673104,89.9116503958082,87.1006630396332,54.779742435143476,5.07844232997412,3.5347784818391625,False
2020-06-01,supermarkets,78232.85960185598,23449.543028817643,85.27822390638114,88.6000225927361,87.0390372984873,43.774936689603884,-1.4866361735646594,-1.4587962708926594,False
2020-07-01,supermarkets,81140.69622145995,23791.36751520022,86.52132638605822,86.930637551061,86.9450422868337,47.40931859826931,0.896073916042206,-1.884181282152364,False
2020-08-01,supermarkets,80411.97328758003,22953.005491091488,83.47248128410075,83.5325890927741,86.8600912574976,34.75638913878578,-5.659309458504136,-3.9089192878528745,False
2020-09-01,supermarkets,77055.77435700996,21628.031776779157,78.65399058087726,85.6414162416069,86.830158683834,33.11802103179347,-2.332928382948196,2.524556190268057,False
2020-10-01,supermarkets,89224.28105372799,24095.3382187538,87.6267671908861,86.9257168868702,86.8886513262186,34.524691077456325,-2.260912106979507,1.4996256503279959,False
2020-11-01,supermarkets,91093.50731224002,24010.693725993668,87.31894319631316,87.547503781888,87.0625781432645,34.07202382818297,-1.071293165012388,0.7153083313963471,False
2020-12-01,supermarkets,115806.12811517665,29931.10446415699,108.8495168167191,87.5185386997873,87.3357622137696,38.64905274066403,2.6871738452670435,-0.03308498911958058,False
2021-01-01,supermarkets,98007.58325283098,24420.020915074365,88.80753065571464,87.5719529172416,87.6643859589587,39.72138983482729,3.9886788037985177,0.06103188906927404,False
2021-02-01,supermarkets,92954.23368112402,22322.62103430943,81.17998173361919,87.2033686773391,88.0140345022599,28.222580667151085,-5.819725542811605,-0.42089302296458575,False
2021-03-01,supermarkets,107225.88448978103,24627.553412049245,89.5622576336828,89.2959673813666,88.3631219813264,25.003900332886598,-8.77555284093292,2.399676452603927,False
2021-04-01,supermarkets,106870.18588609398,23407.47506933876,85.12523666636046,89.6151381593519,88.6981319766845,42.4753507222088,1.1442954940595662,0.3574302259610196,False
2021-05-01,supermarkets,110604.69456479796,23368.393763666063,84.98311089735874,88.7118265154934,89.0203000436798,40.72824925059191,-2.6830935312307402,-1.007990014200777,False
2021-06-01,supermarkets,116287.89295616008,23677.99416274856,86.10902504084615,88.6129803090875,89.3490678809784,48.643285632117305,0.9742242467163376,-0.11142393330006994,False
2021-07-01,supermarkets,125658.55253241002,24779.46708113056,90.11471734986728,89.0447260531661,89.6895788898698,54.86501642707875,4.153185247964575,0.4872262986445497,False
2021-08-01,supermarkets,124840.319962399,23990.069055768367,87.24393809948432,89.4292959129375,90.0519901794484,55.25090960761327,4.518203792873154,0.4318839271197028,False
2021-09-01,supermarkets,123002.25242975802,22962.046342330883,83.5053598666535,90.7873049160746,90.4280431897727,59.62755997995912,6.167988744052022,1.5185281168479392,False
2021-10-01,supermarkets,140487.48726625007,25386.745245625458,92.32318696574036,91.4042677045742,90.7872017927152,57.454322530940914,5.3595721095399895,0.6795694497924831,False
2021-11-01,supermarkets,141701.96065865096,25026.615284791493,91.01351353638384,91.6200111973587,91.0872509110525,55.55659765403589,4.231121226197665,0.23603218777683566,False
2021-12-01,supermarkets,183983.15187992307,31596.63098218947,114.90648531082756,91.9158390217818,91.2903219054584,58.871689153565335,5.564534112087238,0.3228856016900705,False
